Raga,Tonic,Filename,Link,Instrument,Artist,Start time,Gender,Channel,Bandish,End time,Notes
Basant,A#,Basant_7,,Vocal,Veena Sahasrabuddhe,,#REF!,CompMusic DB,,,
Basant,C#,Basant_8,,Vocal,Pt. Jasraj,,#REF!,CompMusic DB,,,
Basant,C#,Basant_9,,Vocal,Rashid Khan,,#REF!,CompMusic DB,,,
Basant,C#,Basant_10,,Vocal,Aslam Khan,,#REF!,CompMusic DB,,,
Basant Mukhari,C#,Basant Mukhari_1,https://youtu.be/T84xGh2RFzU?si=-1ncTrUUymFXOksq,Vocal,Pt. Jasraj,,#REF!,Music Today,,,
Basant Mukhari,D#,Basant Mukhari_2,https://youtu.be/nnOYvP9kFOo?si=lLGRXeTTLUSqFMBQ,Vocal,Rajan Sajan Mishra,,#REF!,Komal Nishad,,,
Basant Mukhari,E,Basant Mukhari_3,https://youtu.be/Ycae84vHcdo?si=8j1sKp8h_CpU0hvd,Vocal,Siddhartha Belmannu,,#REF!,First Edition Arts,,,Also called Hijaz Bhairav according to the recording
Basant Mukhari,A#,Basant Mukhari_4,https://youtu.be/MdQiGj9yVdw?si=ypaQbFSfZwEF4Xvo,Vocal,Manali Bose,,#REF!,1001 Bandishes,,,
Basant Mukhari,D#,Basant Mukhari_5,https://youtu.be/VMZdQJB6Fi4?si=BhgkGw76FYJ7cM8N,Vocal,Amir Khan,,#REF!,,,,
Basant Mukhari,A#,Basant Mukhari_6,https://youtu.be/lXExts3WHyY?si=rAgsjiR8PwT-Rt0I,Vocal,Kaushiki Chakraborti,,#REF!,,,,
Basant Mukhari,D,Basant Mukhari_7,https://youtu.be/O5nfIpwiah0?si=Pro5pwWimEW2TG2e,Vocal,Ajoy Chakraborti,,#REF!,,,,
Basant Mukhari,D#,Basant Mukhari_8,https://youtu.be/DWSqFPCIrwM?si=pK-cwkvUm6Dhtpjb,Vocal,Nagesh Adagaonkar,,#REF!,,,,
Basant Mukhari,C,Basant Mukhari_9,https://youtu.be/XEYTuTI9gqw?si=H6siwTa1lRJexfMM,Sarod,Abhishek Lahiri,,#REF!,,,,
Bhairav,A,Bhairav_1,,Vocal,Prabha Atre,,#REF!,CompMusic DB,,,
Bhairav,C#,Bhairav_2,,Vocal,Abdul Rashid Khan,,#REF!,CompMusic DB,,,
Bhairav,C#,Bhairav_3,,Vocal,Abdul Rashid Khan,,#REF!,CompMusic DB,,,
Bhairav,C#,Bhairav_4,,Vocal,Abdul Rashid Khan,,#REF!,CompMusic DB,,,
Bhairav,C#,Bhairav_5,,Vocal,Abdul Rashid Khan,,#REF!,CompMusic DB,,,
Bhairav,D,Bhairav_6,,Vocal,Rashid Khan,,#REF!,CompMusic DB,,,
Bhairav,D,Bhairav_7,,Vocal,Rashid Khan,,#REF!,CompMusic DB,,,
Bhairav,F,Bhairav_8,,Vocal,Kumar Gandharv,,#REF!,CompMusic DB,,,
Bhairav,F,Bhairav_9,,Vocal,Kumar Gandharv,,#REF!,CompMusic DB,,,
Bhairav,C#,Bhairav_10,,Vocal,Salamat Ali Khan,,#REF!,CompMusic DB,,,
Bhairavi,E,Bhairavi_1,https://youtu.be/tLXNNejKhJs?si=JD3pcV6-44uEaOII,Flute,Hariprasad Chaurasia,,#REF!,,,,
Bhairavi,D,Bhairavi_2,https://youtu.be/ZtOQ49_hO8s?si=9-ZVCntvCpSFNl3N,Sitar,Niladri Kumar,,#REF!,Darbar,,,
Bhairavi,D#,Bhairavi_3,https://youtu.be/uKjhHebmZJM?si=Ekp98katXml9CM2N,Vocal,Venkatesh Kumar,,#REF!,,,,
Bhairavi,A#,Bhairavi_4,https://youtu.be/RLpJCLxacUc?si=CMoPYgc86X86x1mD,Vocal,Ashwini Bhide,,#REF!,,,,
Bhairavi,D,Bhairavi_5,https://youtu.be/nZq0lvclejg?si=EwOyfr7Dyv_bZLbJ,Vocal,Rashid Khan,,#REF!,,,,
Bhairavi,D#,Bhairavi_6,https://youtu.be/7JRLyQNMwV8?si=OfjsjR4i2FpAVrGw,Vocal,Bhimsen Joshi,,#REF!,,,,
Bhairavi,D,Bhairavi_7,https://youtu.be/VwE5Fc_hz6o?si=_2N16CaugV_pL4Vg,Shehenai,Bismillah Khan,,#REF!,,,,
Bhairavi,C#,Bhairavi_8,The Queen of Sitar | Roopa Panesar  |3| Bhairavi Dhun ,Sitar,Roopa Panesar,,#REF!,,,,
Bhairavi,B,Bhairavi_9,Raga Bhairavi ,Sarod,Ali Akbar Khan,,#REF!,,,,
Bhairavi,D,Bhairavi_10,https://youtu.be/OX6Da7jmYP8?si=Ld4lAAxTiTlC1J6R,Vocal,Rashid Khan,,#REF!,,,,
Bhatiyar,E,Bhatiyar_1,https://youtu.be/fveOYRT4DDw?si=ayohgCIio_S5qfY3,Vocal,Venkatesh Kumar,,#REF!,,,,
Bhatiyar,D,Bhatiyar_2,https://youtu.be/XEOo5F0THbA?si=2CYncgT3-yKKRjyF,Vocal,Rashid Khan,,#REF!,,,,
Bhatiyar,C#,Bhatiyar_3,https://youtu.be/7hhX-Ru6YU4?si=Y9Ri4XfQ70RjcK-E,Vocal,Pt. Jasraj,,#REF!,,,,
Bhatiyar,D,Bhatiyar_4,https://youtu.be/O-aL9CSdjnQ?si=21Ii6i9VDst_SI1m,Vocal,Ajoy Chakraborti,,#REF!,,,,
Bhatiyar,A#,Bhatiyar_5,https://youtu.be/PsXWOBNb-VE?si=vAoqYxilexSTib2w,Vocal,Kaushiki Chakraborti,,#REF!,,,,
Bhatiyar,D#,Bhatiyar_6,https://youtu.be/B6AgVc2gqUM?si=HtIKyj6iODREzTbs,Vocal,Rajan Sajan Mishra,,#REF!,,,,
Bhatiyar,C#,Bhatiyar_7,Ustad Amir Khan sings Bhatiyar ,Vocal,Amir Khan,,#REF!,,,,
Bhatiyar,E,Bhatiyar_8,https://youtu.be/RzvGFnD6Yqc?si=fDsN8k5-8zN7ZQ4y,Vocal,Mallikarjun Mansur,,#REF!,,,,
Bhatiyar,A#,Bhatiyar_9,https://youtu.be/kUkmPBoHyI0?si=HAVpiu8qLw9Xz5KH,Vocal,Manali Bose,,#REF!,1001 Bandishes,,,
Bhatiyar,C#,Bhatiyar_10,https://youtu.be/5RdN8jzEl4Y?si=tsyml49DnAB3qaWw,Vocal,Sanjeev Abhyankar,,#REF!,,,,
Bheem,A,Bheem_1,https://youtu.be/dmGhakW9MXc?si=YH8x-rbLFY7yOsZ2,Vocal,Pournima Dhumale,,#REF!,,,,
Bheem,A,Bheem_2,https://youtu.be/uSNtEIp-Ew0?si=Srk-i7LKiwhXzFPG,Vocal,Veena Sahasrabuddhe,,#REF!,,Paar na Payo,,
Bheem,E,Bheem_3,https://youtu.be/687FtBgKVeg?si=knEoOXVacNuEjv7D,Vocal,Devashish Dey,,#REF!,,,,
Bhimpalasi,A#,Bhimpalasi_1,https://youtu.be/uEqYzdz3Zvg?si=8YfgooQwApos2hOS,Vocal,Kaushiki Chakraborti,,#REF!,Darbar,,,
Bhimpalasi,G#,Bhimpalasi_2,https://youtu.be/hujzTIKN-nA?si=p0lVDAbehq_6xcGR,Vocal,Apoorva Gokhale,,#REF!,First Edition Arts,,,
Bhimpalasi,D#,Bhimpalasi_3,https://youtu.be/G5YOMD6tmUY?si=0d2I50XaI2C-7dWo,Vocal,Ulhas Kashalkar,,#REF!,First Edition Arts,,,
Bhimpalasi,D,Bhimpalasi_4,https://youtu.be/_PyplT2u9K8?si=N_kRJCdznvTkOt7P,Sitar,Niladri Kumar,,#REF!,,,,
Bhimpalasi,D,Bhimpalasi_5,https://youtu.be/F-pH-fTwXiU?si=jCw39fBjmlr0cxZ-,Vocal,Rashid Khan,,#REF!,,,,
Bhimpalasi,D,Bhimpalasi_6,https://youtu.be/D31qsk4Zho0?si=l2g_apZuvM4IlM0H,Sitar,Shahid Parvez,,#REF!,Bazm-e-Khas,,,
Bhimpalasi,D#,Bhimpalasi_7,https://youtu.be/tnzKppPRW4g?si=NWcaOt58Y0NR18Z5,Vocal,Venkatesh Kumar,,#REF!,Surel Sabha,,,
Bhimpalasi,C#,Bhimpalasi_8,https://youtu.be/L8K0SME1oGI?si=AlBwlhW_AVf7yt-G,Vocal,Pt. Jasraj,,#REF!,,,,
Bhimpalasi,C#,Bhimpalasi_9,https://youtu.be/-lzurpNhpIQ?si=zBS3XZ1YaC39Gmoz,Vocal,Bhimsen Joshi,,#REF!,,,,
Bhupali Todi,B,Bhupali Todi_1,https://youtu.be/dBoTBWrc1cg?si=gC-Evmw6xajpqDQP,Vocal,Manali Bose,,#REF!,1001 Bandishes,,,
Bhupali Todi,E,Bhupali Todi_2,https://youtu.be/36PHXHVWwQc?si=qCkoZ5DzGps89C4W,Vocal,Basavaraj Vandali,,#REF!,,,,
Bhupali Todi,D#,Bhupali Todi_3,https://youtu.be/7sxH7bRkRe8?si=f88EzkkKDsN3pHa5,Vocal,Jitendra Abhisheki,,#REF!,,,,
Bhupali Todi,C#,Bhupali Todi_4,https://youtu.be/sMHuOklcxLc?si=Vlp9TKtru8PW5Zjc,Vocal,Uday Bhawalkar,,#REF!,,,,
Bhupali Todi,D,Bhupali Todi_5,https://youtu.be/ufm7VhDVUk8?si=rhMHf350e22exBZE,Santoor,Harjinderpal Matharu,0:26,#REF!,Darbar,,,
Bhupali Todi,C#,Bhupali Todi_6,https://youtu.be/3AmM3-E8-HA?si=rGnrVsEMjTQBJq1P,Vocal,Aslam Khan,,#REF!,,,,
Bhupali Todi,D,Bhupali Todi_7,https://youtu.be/OdKG1yvTlUU?si=Tal4KfJAjNw11RJU,Vocal,Prabhakar Karekar,,#REF!,,,,
Bhupali Todi,A#,Bhupali Todi_8,https://youtu.be/gHNDkDTMTCQ?si=Hr8wQPksGmXqeufd,Vocal,Moumita Mitra,,#REF!,,,,
Bhupali Todi,D,Bhupali Todi_9,https://youtu.be/bdSH8e-7Eg4?si=7pzeQvOKg37JiYc6,Sitar,Michael Griska,1:00,#REF!,,,,
Bhupali,D#,Bhupali_1,,Vocal,D V Paluskar,,#REF!,CompMusic DB,,,
Bhupali,C#,Bhupali_2,,Vocal,Bade Ghulam Ali Khan,,#REF!,CompMusic DB,,,
Bhupali,A#,Bhupali_3,,Vocal,Kishori Amonkar,,#REF!,CompMusic DB,,,
Bhupali,A#,Bhupali_4,,Vocal,Kishori Amonkar,,#REF!,CompMusic DB,,,
Bhupali,A#,Bhupali_5,,Vocal,Kishori Amonkar,,#REF!,CompMusic DB,,,
Bhupali,A#,Bhupali_6,,Vocal,Kishori Amonkar,,#REF!,CompMusic DB,,,
Bhupali,C#,Bhupali_7,,Vocal,Abdul Rashid Khan,,#REF!,CompMusic DB,,,
Bhupali,D#,Bhupali_8,,Vocal,Rashid Khan,,#REF!,CompMusic DB,,,
Bhupali,G,Bhupali_9,,Vocal,Kumar Gandharv,,#REF!,CompMusic DB,,,
Bhupali,D#,Bhupali_10,,Vocal,Omkar Dadarkar,,#REF!,CompMusic DB,,,
Bibhas,C#,Bibhas_1,https://youtu.be/kFLCQaW1oE8?si=6pmV58ebKQeB5xeS,Violin,Manas Kumar,,#REF!,,,,
Bibhas,D#,Bibhas_2,https://youtu.be/V_bUsF30j88?si=-VW8wbQrJfx4gmOV,Vocal,Sharad Sathe,,#REF!,,,,
Bibhas,A#,Bibhas_3,https://youtu.be/qINe_MlOKz0?si=cCOfoQ2J-2MFab1c,Vocal,Ashwini Bhide,,#REF!,,,,
Bibhas,A#,Bibhas_4,https://youtu.be/UO3FZgiq2Ac?si=0YCrn8GS7gpQAdev,Vocal,Kishori Amonkar,,#REF!,,,,
Bibhas,F,Bibhas_5,https://youtu.be/OHMVGrHhoYs?si=LKgVaOV_dNKevFLX,Vocal,D V Paluskar,,#REF!,,,,
Bibhas,G#,Bibhas_6,https://youtu.be/9OnY_SGgwtA?si=OrzpCFohdq_MVKHe,Vocal,"Apoorva Gokhale, Pallavi Joshi",,#REF!,,,,
Bibhas,D#,Bibhas_7,https://youtu.be/8chQmqNFdDU?si=g2GKGY_SoX7a8riI,Vocal,Mallikarjun Mansur,,#REF!,,,,
Bibhas,D#,Bibhas_8,https://youtu.be/vBPYPhu7Gm8?si=0V2v1SG1Oln8eHkv,Vocal,Rajan Sajan Mishra,,#REF!,,,,
Bibhas,G#,Bibhas_9,https://youtu.be/EqTNRii6LRA?si=BoWMWGFUQR_fKfMq,Vocal,Shruti Sadolikar,,#REF!,,,,
Bihag,F,Bihag_1,,Vocal,Omkarnath Thakur,,#REF!,CompMusic DB,,,
Bihag,F,Bihag_2,,Vocal,Omkarnath Thakur,,#REF!,CompMusic DB,,,
Bihag,C,Bihag_3,,Vocal,Abdul Rashid Khan,,#REF!,CompMusic DB,,,
Bihag,C,Bihag_4,,Vocal,Abdul Rashid Khan,,#REF!,CompMusic DB,,,
Bihag,C,Bihag_5,,Vocal,Abdul Rashid Khan,,#REF!,CompMusic DB,,,
Bihag,C,Bihag_6,,Vocal,Abdul Rashid Khan,,#REF!,CompMusic DB,,,
Bihag,C,Bihag_7,,Vocal,Abdul Rashid Khan,,#REF!,CompMusic DB,,,
Bihag,D,Bihag_8,,Vocal,Deborshee Bhattacharya,,#REF!,CompMusic DB,,,
Bihag,A,Bihag_9,,Vocal,Manik Bhide,,#REF!,CompMusic DB,,,
Bihag,D#,Bihag_10,,Vocal,Omkar Dadarkar,,#REF!,CompMusic DB,,,
Bihagda,D#,Bihagda_1,https://youtu.be/_uUhQLUqF9o?si=zkLllbLz20mPpSWd,Vocal,Mallikarjun Mansur,,#REF!,,,,
Bihagda,A#,Bihagda_2,https://youtu.be/K0eXpE1OjI4?si=ec8it5caCnSHhXYC,Vocal,Ashwini Bhide,,#REF!,,,,
Bihagda,A#,Bihagda_3,https://youtu.be/zszwh_XJs5M?si=irqlQt2EIcjQYFt3,Vocal,Ranjani Ramachandran,,#REF!,,,,
Bihagda,F#,Bihagda_4,https://youtu.be/0UNxX59oj_o?si=BBrk5wjFwsul_zg0,Vocal,Kumar Gandharv,,#REF!,,,,
Bihagda,D#,Bihagda_5,https://youtu.be/2qrxsvACByw?si=YAj9TCYN3SAZxQwh,Vocal,Ulhas Kashalkar,,#REF!,,,,
Bihagda,C#,Bihagda_6,https://youtu.be/7hIOa5fOEl4?si=cJWd25bxdxzelRvh,Sitar,Vilayat Khan,,#REF!,,,,
Bihagda,C,Bihagda_7,https://youtu.be/l3WrolnLUNw?si=7yRtTi3uICLONWzu,Vocal,Kishori Amonkar,,#REF!,,,,
Bihagda,D#,Bihagda_8,https://youtu.be/_RnkEjtlaHc?si=WD1iXqUSXyzqwOYT,Vocal,Shashank Maktedar,,#REF!,,,,
Bihagda,D#,Bihagda_9,https://youtu.be/LxNT_mL_FnM?si=TaWovIlxVki-cr8u,Vocal,Nishad Bakre,,#REF!,,,,
Bihari,E,Bihari_1,https://youtu.be/sDaPoNBX65A?si=8fY984QEHlsP-Ptm,Vocal,Mallikarjun Mansur,,#REF!,,,,
Bihari,A,Bihari_2,https://youtu.be/OJzIbmJemA8?si=PXPM6w2oob9w52P3,Vocal,Pratima Tilak,,#REF!,,,,
Bihari,A#,Bihari_3,https://youtu.be/17Z8bSRxhUM?si=KvOhfB07PLrtxAuU,Vocal,Ashwini Bhide,,#REF!,,,,
Bihari,B,Bihari_4,https://www.youtube.com/watch?v=X2767Q1iBN8,Sarod,Amjad Ali Khan,,#REF!,,,,Recording is not great
Bihari,D,Bihari_5,https://youtu.be/VOQusm9-1NI?si=9juVaLU-R6JFxHyL,Vocal,Arun Dravid,,#REF!,,,,
