Raga,Tonic,Filename,Link,Instrument,Start time,Artist,Gender,Channel,Bandish,End time,Notes
Bairagi,D,Bairagi_5,,Vocal,,Brajeshwar Mukherjee,M,CompMusic DB,,,
Bairagi,D,Bairagi_6,,Vocal,,Aslam Khan,M,CompMusic DB,,,
Bairagi,C#,Bairagi_7,,Vocal,,Aslam Khan,M,CompMusic DB,,,
Bairagi,C#,Bairagi_8,,Vocal,,Ajoy Chakraborti,M,CompMusic DB,,,
Bairagi,D,Bairagi_9,,Vocal,,Ajoy Chakraborti,M,CompMusic DB,,,
Bairagi,D,Bairagi_10,,Vocal,,Ajoy Chakraborti,M,CompMusic DB,,,
Bairagi Todi,A#,Bairagi Todi_1,https://youtu.be/7IFNhVLCrOU?si=IuN7AcQ4wU65eZXN,Vocal,,Devaki Pandit,F,,,,
Bairagi Todi,G#,Bairagi Todi_2,https://youtu.be/1whY3cq5JGc?si=Wq0B2buH36dOFwJP,Vocal,,Moumita Mitra,F,,,,
Bairagi Todi,D#,Bairagi Todi_3,https://youtu.be/X0jcynzqO_4?si=bDGrLGOD3_SLzFer,Sarangi,,Jaubi,M,,,,Not clear who the artiste is. Multiple instruments
Bairagi Todi,A#,Bairagi Todi_4,https://youtu.be/kVfRvglG2zE?si=Ynhlf08oOfwBvIp2,Vocal,,Ashwini Bhide,F,,,,
Bairagi Todi,D,Bairagi Todi_5,https://youtu.be/-wrLGBySWY0?si=0ad23L91Yw55USiq,Vocal,,Samaresh Chowdhury,M,,,,
Bairagi Todi,G,Bairagi Todi_6,https://youtu.be/5qBAwkxGMLw?si=GQalxnMjb-UZp-gD,Vocal,,Ashwini Khaparde,F,,,,
Bairagi Todi,A#,Bairagi Todi_7,https://youtu.be/zFyu3I7Pj98?si=cQHpJ-EpeMI4QtWf,Vocal,,Saniya Patankar,F,,,,
Basant,C#,Basant_1,,Vocal,,Bhimsen Joshi,M,CompMusic DB,,,
Basant,A#,Basant_2,,Vocal,,Prabha Atre,F,CompMusic DB,,,
Basant,D#,Basant_3,,Vocal,,Basavraj Rajaguru,M,CompMusic DB,,,
Basant,C#,Basant_4,,Vocal,,C R Vyas,M,CompMusic DB,,,
Basant,A,Basant_5,,Vocal,,Gauri Pathare,F,CompMusic DB,,,
Basant,A,Basant_6,,Vocal,,Veena Sahasrabuddhe,F,CompMusic DB,,,
Basant,A#,Basant_7,,Vocal,,Veena Sahasrabuddhe,F,CompMusic DB,,,
Basant,C#,Basant_8,,Vocal,,Pt. Jasraj,M,CompMusic DB,,,
Basant,C#,Basant_9,,Vocal,,Rashid Khan,M,CompMusic DB,,,
Basant,C#,Basant_10,,Vocal,,Aslam Khan,M,CompMusic DB,,,
Basant Mukhari,C#,Basant Mukhari_1,https://youtu.be/T84xGh2RFzU?si=-1ncTrUUymFXOksq,Vocal,,Pt. Jasraj,M,Music Today,,,
Basant Mukhari,D#,Basant Mukhari_2,https://youtu.be/nnOYvP9kFOo?si=lLGRXeTTLUSqFMBQ,Vocal,,Rajan Sajan Mishra,M,Komal Nishad,,,
Basant Mukhari,E,Basant Mukhari_3,https://youtu.be/Ycae84vHcdo?si=8j1sKp8h_CpU0hvd,Vocal,,Siddhartha Belmannu,M,First Edition Arts,,,Also called Hijaz Bhairav according to the recording
Basant Mukhari,A#,Basant Mukhari_4,https://youtu.be/MdQiGj9yVdw?si=ypaQbFSfZwEF4Xvo,Vocal,,Manali Bose,F,1001 Bandishes,,,
Basant Mukhari,D#,Basant Mukhari_5,https://youtu.be/VMZdQJB6Fi4?si=BhgkGw76FYJ7cM8N,Vocal,,Amir Khan,M,,,,
Basant Mukhari,A#,Basant Mukhari_6,https://youtu.be/lXExts3WHyY?si=rAgsjiR8PwT-Rt0I,Vocal,,Kaushiki Chakraborti,F,,,,
Basant Mukhari,D,Basant Mukhari_7,https://youtu.be/O5nfIpwiah0?si=Pro5pwWimEW2TG2e,Vocal,,Ajoy Chakraborti,M,,,,
Basant Mukhari,D#,Basant Mukhari_8,https://youtu.be/DWSqFPCIrwM?si=pK-cwkvUm6Dhtpjb,Vocal,,Nagesh Adagaonkar,M,,,,
Basant Mukhari,C,Basant Mukhari_9,https://youtu.be/XEYTuTI9gqw?si=H6siwTa1lRJexfMM,Sarod,,Abhishek Lahiri,M,,,,
Bhairav,A,Bhairav_1,,Vocal,,Prabha Atre,F,CompMusic DB,,,
Bhairav,C#,Bhairav_2,,Vocal,,Abdul Rashid Khan,M,CompMusic DB,,,
Bhairav,C#,Bhairav_3,,Vocal,,Abdul Rashid Khan,M,CompMusic DB,,,
Bhairav,C#,Bhairav_4,,Vocal,,Abdul Rashid Khan,M,CompMusic DB,,,
Bhairav,C#,Bhairav_5,,Vocal,,Abdul Rashid Khan,M,CompMusic DB,,,
Bhairav,D,Bhairav_6,,Vocal,,Rashid Khan,M,CompMusic DB,,,
Bhairav,D,Bhairav_7,,Vocal,,Rashid Khan,M,CompMusic DB,,,
Bhairav,F,Bhairav_8,,Vocal,,Kumar Gandharv,M,CompMusic DB,,,
Bhairav,F,Bhairav_9,,Vocal,,Kumar Gandharv,M,CompMusic DB,,,
Bhairav,C#,Bhairav_10,,Vocal,,Salamat Ali Khan,M,CompMusic DB,,,
Bhairavi,E,Bhairavi_1,https://youtu.be/tLXNNejKhJs?si=JD3pcV6-44uEaOII,Flute,,Hariprasad Chaurasia,M,,,,
Bhairavi,D,Bhairavi_2,https://youtu.be/ZtOQ49_hO8s?si=9-ZVCntvCpSFNl3N,Sitar,,Niladri Kumar,M,Darbar,,,
Bhairavi,D#,Bhairavi_3,https://youtu.be/uKjhHebmZJM?si=Ekp98katXml9CM2N,Vocal,,Venkatesh Kumar,M,,,,
Bhairavi,A#,Bhairavi_4,https://youtu.be/RLpJCLxacUc?si=CMoPYgc86X86x1mD,Vocal,,Ashwini Bhide,F,,,,
Bhairavi,D,Bhairavi_5,https://youtu.be/nZq0lvclejg?si=EwOyfr7Dyv_bZLbJ,Vocal,,Rashid Khan,M,,,,
Bhairavi,D#,Bhairavi_6,https://youtu.be/7JRLyQNMwV8?si=OfjsjR4i2FpAVrGw,Vocal,,Bhimsen Joshi,M,,,,
Bhairavi,D,Bhairavi_7,https://youtu.be/VwE5Fc_hz6o?si=_2N16CaugV_pL4Vg,Shehenai,,Bismillah Khan,M,,,,
Bhairavi,C#,Bhairavi_8,The Queen of Sitar | Roopa Panesar  |3| Bhairavi Dhun ,Sitar,,Roopa Panesar,F,,,,
Bhairavi,B,Bhairavi_9,Raga Bhairavi ,Sarod,,Ali Akbar Khan,M,,,,
Bhairavi,D,Bhairavi_10,https://youtu.be/OX6Da7jmYP8?si=Ld4lAAxTiTlC1J6R,Vocal,,Rashid Khan,M,,,,
Bhatiyar,E,Bhatiyar_1,https://youtu.be/fveOYRT4DDw?si=ayohgCIio_S5qfY3,Vocal,,Venkatesh Kumar,M,,,,
Bhatiyar,D,Bhatiyar_2,https://youtu.be/XEOo5F0THbA?si=2CYncgT3-yKKRjyF,Vocal,,Rashid Khan,M,,,,
Bhatiyar,C#,Bhatiyar_3,https://youtu.be/7hhX-Ru6YU4?si=Y9Ri4XfQ70RjcK-E,Vocal,,Pt. Jasraj,M,,,,
Bhatiyar,D,Bhatiyar_4,https://youtu.be/O-aL9CSdjnQ?si=21Ii6i9VDst_SI1m,Vocal,,Ajoy Chakraborti,M,,,,
Bhatiyar,A#,Bhatiyar_5,https://youtu.be/PsXWOBNb-VE?si=vAoqYxilexSTib2w,Vocal,,Kaushiki Chakraborti,F,,,,
Bhatiyar,D#,Bhatiyar_6,https://youtu.be/B6AgVc2gqUM?si=HtIKyj6iODREzTbs,Vocal,,Rajan Sajan Mishra,M,,,,
Bhatiyar,C#,Bhatiyar_7,Ustad Amir Khan sings Bhatiyar ,Vocal,,Amir Khan,M,,,,
Bhatiyar,E,Bhatiyar_8,https://youtu.be/RzvGFnD6Yqc?si=fDsN8k5-8zN7ZQ4y,Vocal,,Mallikarjun Mansur,M,,,,
Bhatiyar,A#,Bhatiyar_9,https://youtu.be/kUkmPBoHyI0?si=HAVpiu8qLw9Xz5KH,Vocal,,Manali Bose,F,1001 Bandishes,,,
Bhatiyar,C#,Bhatiyar_10,https://youtu.be/5RdN8jzEl4Y?si=tsyml49DnAB3qaWw,Vocal,,Sanjeev Abhyankar,M,,,,
Bheem,A,Bheem_1,https://youtu.be/dmGhakW9MXc?si=YH8x-rbLFY7yOsZ2,Vocal,,Pournima Dhumale,F,,,,
Bheem,A,Bheem_2,https://youtu.be/uSNtEIp-Ew0?si=Srk-i7LKiwhXzFPG,Vocal,,Veena Sahasrabuddhe,F,,Paar na Payo,,
Bheem,E,Bheem_3,https://youtu.be/687FtBgKVeg?si=knEoOXVacNuEjv7D,Vocal,,Devashish Dey,M,,,,
Bhimpalasi,A#,Bhimpalasi_1,https://youtu.be/uEqYzdz3Zvg?si=8YfgooQwApos2hOS,Vocal,,Kaushiki Chakraborti,F,Darbar,,,
Bhimpalasi,G#,Bhimpalasi_2,https://youtu.be/hujzTIKN-nA?si=p0lVDAbehq_6xcGR,Vocal,,Apoorva Gokhale,F,First Edition Arts,,,
Bhimpalasi,D#,Bhimpalasi_3,https://youtu.be/G5YOMD6tmUY?si=0d2I50XaI2C-7dWo,Vocal,,Ulhas Kashalkar,M,First Edition Arts,,,
Bhimpalasi,D,Bhimpalasi_4,https://youtu.be/_PyplT2u9K8?si=N_kRJCdznvTkOt7P,Sitar,,Niladri Kumar,M,,,,
Bhimpalasi,D,Bhimpalasi_5,https://youtu.be/F-pH-fTwXiU?si=jCw39fBjmlr0cxZ-,Vocal,,Rashid Khan,M,,,,
Bhimpalasi,D,Bhimpalasi_6,https://youtu.be/D31qsk4Zho0?si=l2g_apZuvM4IlM0H,Sitar,,Shahid Parvez,M,Bazm-e-Khas,,,
Bhimpalasi,D#,Bhimpalasi_7,https://youtu.be/tnzKppPRW4g?si=NWcaOt58Y0NR18Z5,Vocal,,Venkatesh Kumar,M,Surel Sabha,,,
Bhimpalasi,C#,Bhimpalasi_8,https://youtu.be/L8K0SME1oGI?si=AlBwlhW_AVf7yt-G,Vocal,,Pt. Jasraj,M,,,,
Bhimpalasi,C#,Bhimpalasi_9,https://youtu.be/-lzurpNhpIQ?si=zBS3XZ1YaC39Gmoz,Vocal,,Bhimsen Joshi,M,,,,
Bhupali Todi,B,Bhupali Todi_1,https://youtu.be/dBoTBWrc1cg?si=gC-Evmw6xajpqDQP,Vocal,,Manali Bose,F,1001 Bandishes,,,
Bhupali Todi,E,Bhupali Todi_2,https://youtu.be/36PHXHVWwQc?si=qCkoZ5DzGps89C4W,Vocal,,Basavaraj Vandali,M,,,,
Bhupali Todi,D#,Bhupali Todi_3,https://youtu.be/7sxH7bRkRe8?si=f88EzkkKDsN3pHa5,Vocal,,Jitendra Abhisheki,M,,,,
Bhupali Todi,C#,Bhupali Todi_4,https://youtu.be/sMHuOklcxLc?si=Vlp9TKtru8PW5Zjc,Vocal,,Uday Bhawalkar,M,,,,
Bhupali Todi,D,Bhupali Todi_5,https://youtu.be/ufm7VhDVUk8?si=rhMHf350e22exBZE,Santoor,0:26,Harjinderpal Matharu,M,Darbar,,,
Bhupali Todi,C#,Bhupali Todi_6,https://youtu.be/3AmM3-E8-HA?si=rGnrVsEMjTQBJq1P,Vocal,,Aslam Khan,M,,,,
Bhupali Todi,D,Bhupali Todi_7,https://youtu.be/OdKG1yvTlUU?si=Tal4KfJAjNw11RJU,Vocal,,Prabhakar Karekar,M,,,,
Bhupali Todi,A#,Bhupali Todi_8,https://youtu.be/gHNDkDTMTCQ?si=Hr8wQPksGmXqeufd,Vocal,,Moumita Mitra,F,,,,
Bhupali Todi,D,Bhupali Todi_9,https://youtu.be/bdSH8e-7Eg4?si=7pzeQvOKg37JiYc6,Sitar,1:00,Michael Griska,M,,,,
Bhupali,D#,Bhupali_1,,Vocal,,D V Paluskar,M,CompMusic DB,,,
Bhupali,C#,Bhupali_2,,Vocal,,Bade Ghulam Ali Khan,M,CompMusic DB,,,
Bhupali,A#,Bhupali_3,,Vocal,,Kishori Amonkar,F,CompMusic DB,,,
Bhupali,A#,Bhupali_4,,Vocal,,Kishori Amonkar,F,CompMusic DB,,,
Bhupali,A#,Bhupali_5,,Vocal,,Kishori Amonkar,F,CompMusic DB,,,
Bhupali,A#,Bhupali_6,,Vocal,,Kishori Amonkar,F,CompMusic DB,,,
Bhupali,C#,Bhupali_7,,Vocal,,Abdul Rashid Khan,M,CompMusic DB,,,
Bhupali,D#,Bhupali_8,,Vocal,,Rashid Khan,M,CompMusic DB,,,
Bhupali,G,Bhupali_9,,Vocal,,Kumar Gandharv,M,CompMusic DB,,,
Bhupali,D#,Bhupali_10,,Vocal,,Omkar Dadarkar,M,CompMusic DB,,,
Bibhas,C#,Bibhas_1,https://youtu.be/kFLCQaW1oE8?si=6pmV58ebKQeB5xeS,Violin,,Manas Kumar,M,,,,
Bibhas,D#,Bibhas_2,https://youtu.be/V_bUsF30j88?si=-VW8wbQrJfx4gmOV,Vocal,,Sharad Sathe,M,,,,
Bibhas,A#,Bibhas_3,https://youtu.be/qINe_MlOKz0?si=cCOfoQ2J-2MFab1c,Vocal,,Ashwini Bhide,F,,,,
Bibhas,A#,Bibhas_4,https://youtu.be/UO3FZgiq2Ac?si=0YCrn8GS7gpQAdev,Vocal,,Kishori Amonkar,F,,,,
Bibhas,F,Bibhas_5,https://youtu.be/OHMVGrHhoYs?si=LKgVaOV_dNKevFLX,Vocal,,D V Paluskar,M,,,,
Bibhas,G#,Bibhas_6,https://youtu.be/9OnY_SGgwtA?si=OrzpCFohdq_MVKHe,Vocal,,"Apoorva Gokhale, Pallavi Joshi",F,,,,
Bibhas,D#,Bibhas_7,https://youtu.be/8chQmqNFdDU?si=g2GKGY_SoX7a8riI,Vocal,,Mallikarjun Mansur,M,,,,
Bibhas,D#,Bibhas_8,https://youtu.be/vBPYPhu7Gm8?si=0V2v1SG1Oln8eHkv,Vocal,,Rajan Sajan Mishra,M,,,,
Bibhas,G#,Bibhas_9,https://youtu.be/EqTNRii6LRA?si=BoWMWGFUQR_fKfMq,Vocal,,Shruti Sadolikar,F,,,,
Bihag,F,Bihag_1,,Vocal,,Omkarnath Thakur,M,CompMusic DB,,,
Bihag,F,Bihag_2,,Vocal,,Omkarnath Thakur,M,CompMusic DB,,,
Bihag,C,Bihag_3,,Vocal,,Abdul Rashid Khan,M,CompMusic DB,,,
Bihag,C,Bihag_4,,Vocal,,Abdul Rashid Khan,M,CompMusic DB,,,
Bihag,C,Bihag_5,,Vocal,,Abdul Rashid Khan,M,CompMusic DB,,,
Bihag,C,Bihag_6,,Vocal,,Abdul Rashid Khan,M,CompMusic DB,,,
Bihag,C,Bihag_7,,Vocal,,Abdul Rashid Khan,M,CompMusic DB,,,
Bihag,D,Bihag_8,,Vocal,,Deborshee Bhattacharya,M,CompMusic DB,,,
Bihag,A,Bihag_9,,Vocal,,Manik Bhide,M,CompMusic DB,,,
Bihag,D#,Bihag_10,,Vocal,,Omkar Dadarkar,M,CompMusic DB,,,
Bihagda,D#,Bihagda_1,https://youtu.be/_uUhQLUqF9o?si=zkLllbLz20mPpSWd,Vocal,,Mallikarjun Mansur,M,,,,
Bihagda,A#,Bihagda_2,https://youtu.be/K0eXpE1OjI4?si=ec8it5caCnSHhXYC,Vocal,,Ashwini Bhide,F,,,,
Bihagda,A#,Bihagda_3,https://youtu.be/zszwh_XJs5M?si=irqlQt2EIcjQYFt3,Vocal,,Ranjani Ramachandran,F,,,,
Bihagda,F#,Bihagda_4,https://youtu.be/0UNxX59oj_o?si=BBrk5wjFwsul_zg0,Vocal,,Kumar Gandharv,M,,,,
Bihagda,D#,Bihagda_5,https://youtu.be/2qrxsvACByw?si=YAj9TCYN3SAZxQwh,Vocal,,Ulhas Kashalkar,M,,,,
Bihagda,C#,Bihagda_6,https://youtu.be/7hIOa5fOEl4?si=cJWd25bxdxzelRvh,Sitar,,Vilayat Khan,M,,,,
Bihagda,C,Bihagda_7,https://youtu.be/l3WrolnLUNw?si=7yRtTi3uICLONWzu,Vocal,,Kishori Amonkar,F,,,,
Bihagda,D#,Bihagda_8,https://youtu.be/_RnkEjtlaHc?si=WD1iXqUSXyzqwOYT,Vocal,,Shashank Maktedar,M,,,,
Bihagda,D#,Bihagda_9,https://youtu.be/LxNT_mL_FnM?si=TaWovIlxVki-cr8u,Vocal,,Nishad Bakre,M,,,,
Bihari,E,Bihari_1,https://youtu.be/sDaPoNBX65A?si=8fY984QEHlsP-Ptm,Vocal,,Mallikarjun Mansur,M,,,,
Bihari,A,Bihari_2,https://youtu.be/OJzIbmJemA8?si=PXPM6w2oob9w52P3,Vocal,,Pratima Tilak,F,,,,
Bihari,A#,Bihari_3,https://youtu.be/17Z8bSRxhUM?si=KvOhfB07PLrtxAuU,Vocal,,Ashwini Bhide,F,,,,
Bihari,B,Bihari_4,https://www.youtube.com/watch?v=X2767Q1iBN8,Sarod,,Amjad Ali Khan,M,,,,Recording is not great
Bihari,D,Bihari_5,https://youtu.be/VOQusm9-1NI?si=9juVaLU-R6JFxHyL,Vocal,,Arun Dravid,M,,,,
Bihari,G#,Bihari_6,https://youtu.be/ksfYVfh-mBk?si=Nao0Jl1yRIOKY0vh,Vocal,0:38,Shruti Sadolikar,F,,,,
Bihari,D#,Bihari_7,https://youtu.be/W01XQbLWL0A?si=yYXCYs1FPxM6xGKw,Vocal,1:50,Nishad Matange,M,,,,
Bihari,B,Bihari_8,https://youtu.be/t9WAREKVaW0?si=jmePA_e4SJQbhMNh,Vocal,,Kishori Amonkar,F,,,,
Bilaskhani Todi,E,Bilaskhani Todi_1,,Vocal,,Basavraj Rajaguru,M,CompMusic DB,,,
Bilaskhani Todi,C#,Bilaskhani Todi_2,,Vocal,,Amir Khan,M,CompMusic DB,,,
Bilaskhani Todi,D,Bilaskhani Todi_3,,Vocal,,Pt. Jasraj,M,CompMusic DB,,,
Bilaskhani Todi,D#,Bilaskhani Todi_4,,Vocal,,Rashid Khan,M,CompMusic DB,,,
Bilaskhani Todi,D,Bilaskhani Todi_5,,Vocal,,Satyasheel Deshpande,M,CompMusic DB,,,
Bilaskhani Todi,A#,Bilaskhani Todi_6,,Vocal,,Kaushiki Chakraborti,F,CompMusic DB,,,
Bilaskhani Todi,G#,Bilaskhani Todi_7,,Vocal,,Shruti Sadolikar,F,CompMusic DB,,,
