Raga,Tonic,Filename,Link,Instrument,Gender,Artist,Channel,Bandish,Start time,End time,Notes
Asavari (komal re),D#,Asavari (komal re)_3,https://youtu.be/juftd3yg_wY?si=LrX1g7ur3pZOeox3,Vocal,M,Ulhas Kashalkar,,,,,
Asavari (komal re),E,Asavari (komal re)_4,https://youtu.be/s7WRnU0Fi0U?si=IC5cSqLJ9MFvF3zf,Vocal,M,Moinuddin and Nasir Aminuddin Dagar,,,,,Some note between D# and E but not either of them
Asavari (komal re),C,Asavari (komal re)_5,https://youtu.be/Z-SUL_6JiKs?si=EGl5zWM__bU5C9Kn,Vocal,M,Amir Khan,,,,,
Asavari (komal re),C#,Asavari (komal re)_6,https://youtu.be/lahaD7-B8DQ?si=-jxgx294FjSrNzjE,Vocal,M,Amir Khan,,,,,
Asavari (komal re),G,Asavari (komal re)_7,https://youtu.be/Hl6OLEfrY98?si=Tv-rPhxDpLiTxtJ,Sarangi,M,Dhruba Ghosh,,,,,
Asavari (komal re),D#,Asavari (komal re)_8,https://youtu.be/EYfX-4mAJWc?si=XC7arDDtDQCmO_Cc,Vocal,M,Rajan Sajan Mishra,,,,,
Asavari (komal re),D#,Asavari (komal re)_9,https://youtu.be/tjE8Z9IEPPY?si=PdBNNjTzUfmg-V7s,Vocal,M,Zia Fariduddin Dagar,,,,,
Asavari (komal re),E,Asavari (komal re)_10,https://youtu.be/ozEjPPZ_014?si=DC1lsY8W5As8UzWp,Vocal,M,Omkarnath Thakur,,,,,
Bageshri,D,Bageshri_1,,Vocal,M,Jagdish Prasad,CompMusic DB,,,,
Bageshri,D#,Bageshri_2,,Vocal,M,Mukul Shivaputra Bhanumatey,CompMusic DB,,,,
Bageshri,D,Bageshri_3,,Vocal,M,Prabhakar Karekar,CompMusic DB,,,,
Bageshri,D,Bageshri_4,,Vocal,M,Amir Khan,CompMusic DB,,,,
Bageshri,A#,Bageshri_5,,Vocal,F,Veena Sahasrabuddhe,CompMusic DB,,,,
Bageshri,C#,Bageshri_6,,Vocal,M,Sanjeev Abhyankar,CompMusic DB,,,,
Bageshri,D,Bageshri_7,,Vocal,M,Rashid Khan,CompMusic DB,,,,
Bageshri,C#,Bageshri_8,,Vocal,M,Satyasheel Deshpande,CompMusic DB,,,,
Bageshri,A,Bageshri_9,,Vocal,F,Malini Rajurkar,CompMusic DB,,,,
Bageshri,D,Bageshri_10,,Vocal,M,Ajoy Chakraborti,CompMusic DB,,,,
Bahar,D#,Bahar_1,https://youtu.be/cnBqvwZ-Wio?si=Tv6cJinyv1HPe4YQ,Vocal,M,Rashid Khan,,,,,
Bahar,D#,Bahar_2,https://youtu.be/6MjXt46zwTM?si=Czu62FopZFVFtsKA,Vocal,M,Nusrat Fateh Ali Khan,,,,,
Bahar,D#,Bahar_3,https://youtu.be/jhT45HzPDoI?si=6xwhhK84LIJ7xZZM,Vocal,M,Venkatesh Kumar,,,,,
Bahar,D#,Bahar_4,https://youtu.be/N18UOzwV7Ic?si=aZ3bmV06R3CIXztm,Vocal,M,Farid Ayaz,,,,,
Bahar,D#,Bahar_5,https://youtu.be/GcPekkQADWs?si=bG-eZ3L2Yil_upeE,Vocal,M,D V Paluskar,,,,,
Bahar,C#,Bahar_6,Ustad Vilayat KHAN   Râga Bahar - ,Sitar,M,Vilayat Khan,,,,,
Bahar,F,Bahar_7,https://youtu.be/pW4CktanGlc?si=533Wsz1DOMZBDE25,Vocal,M,Kumar Gandharv,,,,,
Bahar,C#,Bahar_8,https://youtu.be/o5CBNlP8wmE?si=Y9rUu-yxpDc7zL60,Vocal,M,Salamat Ali Khan,,,,,
Bahar,C#,Bahar_9,https://youtu.be/neue14ZN3RQ?si=m-3x0zeqGtYAz9FZ,Vocal,M,Bhimsen Joshi,,,,,
Bahar,D#,Bahar_10,https://youtu.be/3oTmAUuYdN4?si=5HBEeCZQ_gJt3tkR,Vocal,M,Gandhar Deshpande,,,,,
Bairagi,D,Bairagi_1,,Vocal,M,Amir Khan,CompMusic DB,,,,
Bairagi,A#,Bairagi_2,,Vocal,F,Veena Sahasrabuddhe,CompMusic DB,,,,
Bairagi,D#,Bairagi_3,,Vocal,M,Rashid Khan,CompMusic DB,,,,
Bairagi,E,Bairagi_4,,Vocal,M,Kumar Mardur,CompMusic DB,,,,
Bairagi,D,Bairagi_5,,Vocal,M,Brajeshwar Mukherjee,CompMusic DB,,,,
Bairagi,D,Bairagi_6,,Vocal,M,Aslam Khan,CompMusic DB,,,,
Bairagi,C#,Bairagi_7,,Vocal,M,Aslam Khan,CompMusic DB,,,,
Bairagi,C#,Bairagi_8,,Vocal,M,Ajoy Chakraborti,CompMusic DB,,,,
Bairagi,D,Bairagi_9,,Vocal,M,Ajoy Chakraborti,CompMusic DB,,,,
Bairagi,D,Bairagi_10,,Vocal,M,Ajoy Chakraborti,CompMusic DB,,,,
Bairagi Todi,A#,Bairagi Todi_1,https://youtu.be/7IFNhVLCrOU?si=IuN7AcQ4wU65eZXN,Vocal,F,Devaki Pandit,,,,,
Bairagi Todi,G#,Bairagi Todi_2,https://youtu.be/1whY3cq5JGc?si=Wq0B2buH36dOFwJP,Vocal,F,Moumita Mitra,,,,,
Bairagi Todi,D#,Bairagi Todi_3,https://youtu.be/X0jcynzqO_4?si=bDGrLGOD3_SLzFer,Sarangi,M,Jaubi,,,,,Not clear who the artiste is. Multiple instruments
Bairagi Todi,A#,Bairagi Todi_4,https://youtu.be/kVfRvglG2zE?si=Ynhlf08oOfwBvIp2,Vocal,F,Ashwini Bhide,,,,,
Bairagi Todi,D,Bairagi Todi_5,https://youtu.be/-wrLGBySWY0?si=0ad23L91Yw55USiq,Vocal,M,Samaresh Chowdhury,,,,,
Bairagi Todi,G,Bairagi Todi_6,https://youtu.be/5qBAwkxGMLw?si=GQalxnMjb-UZp-gD,Vocal,F,Ashwini Khaparde,,,,,
Bairagi Todi,A#,Bairagi Todi_7,https://youtu.be/zFyu3I7Pj98?si=cQHpJ-EpeMI4QtWf,Vocal,F,Saniya Patankar,,,,,
Basant,C#,Basant_1,,Vocal,M,Bhimsen Joshi,CompMusic DB,,,,
Basant,A#,Basant_2,,Vocal,F,Prabha Atre,CompMusic DB,,,,
Basant,D#,Basant_3,,Vocal,M,Basavraj Rajaguru,CompMusic DB,,,,
Basant,C#,Basant_4,,Vocal,M,C R Vyas,CompMusic DB,,,,
Basant,A,Basant_5,,Vocal,F,Gauri Pathare,CompMusic DB,,,,
Basant,A,Basant_6,,Vocal,F,Veena Sahasrabuddhe,CompMusic DB,,,,
Basant,A#,Basant_7,,Vocal,F,Veena Sahasrabuddhe,CompMusic DB,,,,
Basant,C#,Basant_8,,Vocal,M,Pt. Jasraj,CompMusic DB,,,,
Basant,C#,Basant_9,,Vocal,M,Rashid Khan,CompMusic DB,,,,
Basant,C#,Basant_10,,Vocal,M,Aslam Khan,CompMusic DB,,,,
Basant Mukhari,C#,Basant Mukhari_1,https://youtu.be/T84xGh2RFzU?si=-1ncTrUUymFXOksq,Vocal,M,Pt. Jasraj,Music Today,,,,
Basant Mukhari,D#,Basant Mukhari_2,https://youtu.be/nnOYvP9kFOo?si=lLGRXeTTLUSqFMBQ,Vocal,M,Rajan Sajan Mishra,Komal Nishad,,,,
Basant Mukhari,E,Basant Mukhari_3,https://youtu.be/Ycae84vHcdo?si=8j1sKp8h_CpU0hvd,Vocal,M,Siddhartha Belmannu,First Edition Arts,,,,Also called Hijaz Bhairav according to the recording
Basant Mukhari,A#,Basant Mukhari_4,https://youtu.be/MdQiGj9yVdw?si=ypaQbFSfZwEF4Xvo,Vocal,F,Manali Bose,1001 Bandishes,,,,
Basant Mukhari,D#,Basant Mukhari_5,https://youtu.be/VMZdQJB6Fi4?si=BhgkGw76FYJ7cM8N,Vocal,M,Amir Khan,,,,,
Basant Mukhari,A#,Basant Mukhari_6,https://youtu.be/lXExts3WHyY?si=rAgsjiR8PwT-Rt0I,Vocal,F,Kaushiki Chakraborti,,,,,
Basant Mukhari,D,Basant Mukhari_7,https://youtu.be/O5nfIpwiah0?si=Pro5pwWimEW2TG2e,Vocal,M,Ajoy Chakraborti,,,,,
Basant Mukhari,D#,Basant Mukhari_8,https://youtu.be/DWSqFPCIrwM?si=pK-cwkvUm6Dhtpjb,Vocal,M,Nagesh Adagaonkar,,,,,
Basant Mukhari,C,Basant Mukhari_9,https://youtu.be/XEYTuTI9gqw?si=H6siwTa1lRJexfMM,Sarod,M,Abhishek Lahiri,,,,,
Bhairav,A,Bhairav_1,,Vocal,F,Prabha Atre,CompMusic DB,,,,
Bhairav,C#,Bhairav_2,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Bhairav,C#,Bhairav_3,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Bhairav,C#,Bhairav_4,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Bhairav,C#,Bhairav_5,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Bhairav,D,Bhairav_6,,Vocal,M,Rashid Khan,CompMusic DB,,,,
Bhairav,D,Bhairav_7,,Vocal,M,Rashid Khan,CompMusic DB,,,,
Bhairav,F,Bhairav_8,,Vocal,M,Kumar Gandharv,CompMusic DB,,,,
Bhairav,F,Bhairav_9,,Vocal,M,Kumar Gandharv,CompMusic DB,,,,
Bhairav,C#,Bhairav_10,,Vocal,M,Salamat Ali Khan,CompMusic DB,,,,
Bhairavi,E,Bhairavi_1,https://youtu.be/tLXNNejKhJs?si=JD3pcV6-44uEaOII,Flute,M,Hariprasad Chaurasia,,,,,
Bhairavi,D,Bhairavi_2,https://youtu.be/ZtOQ49_hO8s?si=9-ZVCntvCpSFNl3N,Sitar,M,Niladri Kumar,Darbar,,,,
Bhairavi,D#,Bhairavi_3,https://youtu.be/uKjhHebmZJM?si=Ekp98katXml9CM2N,Vocal,M,Venkatesh Kumar,,,,,
Bhairavi,A#,Bhairavi_4,https://youtu.be/RLpJCLxacUc?si=CMoPYgc86X86x1mD,Vocal,F,Ashwini Bhide,,,,,
Bhairavi,D,Bhairavi_5,https://youtu.be/nZq0lvclejg?si=EwOyfr7Dyv_bZLbJ,Vocal,M,Rashid Khan,,,,,
Bhairavi,D#,Bhairavi_6,https://youtu.be/7JRLyQNMwV8?si=OfjsjR4i2FpAVrGw,Vocal,M,Bhimsen Joshi,,,,,
Bhairavi,D,Bhairavi_7,https://youtu.be/VwE5Fc_hz6o?si=_2N16CaugV_pL4Vg,Shehenai,M,Bismillah Khan,,,,,
Bhairavi,C#,Bhairavi_8,The Queen of Sitar | Roopa Panesar  |3| Bhairavi Dhun,Sitar,F,Roopa Panesar,,,,,
Bhairavi,B,Bhairavi_9,Raga Bhairavi ,Sarod,M,Ali Akbar Khan,,,,,
Bhairavi,D,Bhairavi_10,https://youtu.be/OX6Da7jmYP8?si=Ld4lAAxTiTlC1J6R,Vocal,M,Rashid Khan,,,,,
Bhatiyar,E,Bhatiyar_1,https://youtu.be/fveOYRT4DDw?si=ayohgCIio_S5qfY3,Vocal,M,Venkatesh Kumar,,,,,
Bhatiyar,D,Bhatiyar_2,https://youtu.be/XEOo5F0THbA?si=2CYncgT3-yKKRjyF,Vocal,M,Rashid Khan,,,,,
Bhatiyar,C#,Bhatiyar_3,https://youtu.be/7hhX-Ru6YU4?si=Y9Ri4XfQ70RjcK-E,Vocal,M,Pt. Jasraj,,,,,
Bhatiyar,D,Bhatiyar_4,https://youtu.be/O-aL9CSdjnQ?si=21Ii6i9VDst_SI1m,Vocal,M,Ajoy Chakraborti,,,,,
Bhatiyar,A#,Bhatiyar_5,https://youtu.be/PsXWOBNb-VE?si=vAoqYxilexSTib2w,Vocal,F,Kaushiki Chakraborti,,,,,
Bhatiyar,D#,Bhatiyar_6,https://youtu.be/B6AgVc2gqUM?si=HtIKyj6iODREzTbs,Vocal,M,Rajan Sajan Mishra,,,,,
Bhatiyar,C#,Bhatiyar_7,Ustad Amir Khan sings Bhatiyar ,Vocal,M,Amir Khan,,,,,
Bhatiyar,E,Bhatiyar_8,https://youtu.be/RzvGFnD6Yqc?si=fDsN8k5-8zN7ZQ4y,Vocal,M,Mallikarjun Mansur,,,,,
Bhatiyar,A#,Bhatiyar_9,https://youtu.be/kUkmPBoHyI0?si=HAVpiu8qLw9Xz5KH,Vocal,F,Manali Bose,1001 Bandishes,,,,
Bhatiyar,C#,Bhatiyar_10,https://youtu.be/5RdN8jzEl4Y?si=tsyml49DnAB3qaWw,Vocal,M,Sanjeev Abhyankar,,,,,
Bheem,A,Bheem_1,https://youtu.be/dmGhakW9MXc?si=YH8x-rbLFY7yOsZ2,Vocal,F,Pournima Dhumale,,,,,
Bheem,A,Bheem_2,https://youtu.be/uSNtEIp-Ew0?si=Srk-i7LKiwhXzFPG,Vocal,F,Veena Sahasrabuddhe,,Paar na Payo,,,
Bheem,E,Bheem_3,https://youtu.be/687FtBgKVeg?si=knEoOXVacNuEjv7D,Vocal,M,Devashish Dey,,,,,
Bhimpalasi,A#,Bhimpalasi_1,https://youtu.be/uEqYzdz3Zvg?si=8YfgooQwApos2hOS,Vocal,F,Kaushiki Chakraborti,Darbar,,,,
Bhimpalasi,G#,Bhimpalasi_2,https://youtu.be/hujzTIKN-nA?si=p0lVDAbehq_6xcGR,Vocal,F,Apoorva Gokhale,First Edition Arts,,,,
Bhimpalasi,D#,Bhimpalasi_3,https://youtu.be/G5YOMD6tmUY?si=0d2I50XaI2C-7dWo,Vocal,M,Ulhas Kashalkar,First Edition Arts,,,,
Bhimpalasi,D,Bhimpalasi_4,https://youtu.be/_PyplT2u9K8?si=N_kRJCdznvTkOt7P,Sitar,M,Niladri Kumar,,,,,
Bhimpalasi,D,Bhimpalasi_5,https://youtu.be/F-pH-fTwXiU?si=jCw39fBjmlr0cxZ-,Vocal,M,Rashid Khan,,,,,
Bhimpalasi,D,Bhimpalasi_6,https://youtu.be/D31qsk4Zho0?si=l2g_apZuvM4IlM0H,Sitar,M,Shahid Parvez,Bazm-e-Khas,,,,
Bhimpalasi,D#,Bhimpalasi_7,https://youtu.be/tnzKppPRW4g?si=NWcaOt58Y0NR18Z5,Vocal,M,Venkatesh Kumar,Surel Sabha,,,,
Bhimpalasi,C#,Bhimpalasi_8,https://youtu.be/L8K0SME1oGI?si=AlBwlhW_AVf7yt-G,Vocal,M,Pt. Jasraj,,,,,
Bhimpalasi,C#,Bhimpalasi_9,https://youtu.be/-lzurpNhpIQ?si=zBS3XZ1YaC39Gmoz,Vocal,M,Bhimsen Joshi,,,,,
Bhupali Todi,B,Bhupali Todi_1,https://youtu.be/dBoTBWrc1cg?si=gC-Evmw6xajpqDQP,Vocal,F,Manali Bose,1001 Bandishes,,,,
Bhupali Todi,E,Bhupali Todi_2,https://youtu.be/36PHXHVWwQc?si=qCkoZ5DzGps89C4W,Vocal,M,Basavaraj Vandali,,,,,
Bhupali Todi,D#,Bhupali Todi_3,https://youtu.be/7sxH7bRkRe8?si=f88EzkkKDsN3pHa5,Vocal,M,Jitendra Abhisheki,,,,,
Bhupali Todi,C#,Bhupali Todi_4,https://youtu.be/sMHuOklcxLc?si=Vlp9TKtru8PW5Zjc,Vocal,M,Uday Bhawalkar,,,,,
Bhupali Todi,D,Bhupali Todi_5,https://youtu.be/ufm7VhDVUk8?si=rhMHf350e22exBZE,Santoor,M,Harjinderpal Matharu,Darbar,,0:26,,
Bhupali Todi,C#,Bhupali Todi_6,https://youtu.be/3AmM3-E8-HA?si=rGnrVsEMjTQBJq1P,Vocal,M,Aslam Khan,,,,,
Bhupali Todi,D,Bhupali Todi_7,https://youtu.be/OdKG1yvTlUU?si=Tal4KfJAjNw11RJU,Vocal,M,Prabhakar Karekar,,,,,
Bhupali Todi,A#,Bhupali Todi_8,https://youtu.be/gHNDkDTMTCQ?si=Hr8wQPksGmXqeufd,Vocal,F,Moumita Mitra,,,,,
Bhupali Todi,D,Bhupali Todi_9,https://youtu.be/bdSH8e-7Eg4?si=7pzeQvOKg37JiYc6,Sitar,M,Michael Griska,,,1:00,,
Bhupali,D#,Bhupali_1,,Vocal,M,D V Paluskar,CompMusic DB,,,,
Bhupali,C#,Bhupali_2,,Vocal,M,Bade Ghulam Ali Khan,CompMusic DB,,,,
Bhupali,A#,Bhupali_3,,Vocal,F,Kishori Amonkar,CompMusic DB,,,,
Bhupali,A#,Bhupali_4,,Vocal,F,Kishori Amonkar,CompMusic DB,,,,
Bhupali,A#,Bhupali_5,,Vocal,F,Kishori Amonkar,CompMusic DB,,,,
Bhupali,A#,Bhupali_6,,Vocal,F,Kishori Amonkar,CompMusic DB,,,,
Bhupali,C#,Bhupali_7,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Bhupali,D#,Bhupali_8,,Vocal,M,Rashid Khan,CompMusic DB,,,,
Bhupali,G,Bhupali_9,,Vocal,M,Kumar Gandharv,CompMusic DB,,,,
Bhupali,D#,Bhupali_10,,Vocal,M,Omkar Dadarkar,CompMusic DB,,,,
Bibhas,C#,Bibhas_1,https://youtu.be/kFLCQaW1oE8?si=6pmV58ebKQeB5xeS,Violin,M,Manas Kumar,,,,,
Bibhas,D#,Bibhas_2,https://youtu.be/V_bUsF30j88?si=-VW8wbQrJfx4gmOV,Vocal,M,Sharad Sathe,,,,,
Bibhas,A#,Bibhas_3,https://youtu.be/qINe_MlOKz0?si=cCOfoQ2J-2MFab1c,Vocal,F,Ashwini Bhide,,,,,
Bibhas,A#,Bibhas_4,https://youtu.be/UO3FZgiq2Ac?si=0YCrn8GS7gpQAdev,Vocal,F,Kishori Amonkar,,,,,
Bibhas,F,Bibhas_5,https://youtu.be/OHMVGrHhoYs?si=LKgVaOV_dNKevFLX,Vocal,M,D V Paluskar,,,,,
Bibhas,G#,Bibhas_6,https://youtu.be/9OnY_SGgwtA?si=OrzpCFohdq_MVKHe,Vocal,F,"Apoorva Gokhale, Pallavi Joshi",,,,,
Bibhas,D#,Bibhas_7,https://youtu.be/8chQmqNFdDU?si=g2GKGY_SoX7a8riI,Vocal,M,Mallikarjun Mansur,,,,,
Bibhas,D#,Bibhas_8,https://youtu.be/vBPYPhu7Gm8?si=0V2v1SG1Oln8eHkv,Vocal,M,Rajan Sajan Mishra,,,,,
Bibhas,G#,Bibhas_9,https://youtu.be/EqTNRii6LRA?si=BoWMWGFUQR_fKfMq,Vocal,F,Shruti Sadolikar,,,,,
Bihag,F,Bihag_1,,Vocal,M,Omkarnath Thakur,CompMusic DB,,,,
Bihag,F,Bihag_2,,Vocal,M,Omkarnath Thakur,CompMusic DB,,,,
Bihag,C,Bihag_3,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Bihag,C,Bihag_4,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Bihag,C,Bihag_5,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Bihag,C,Bihag_6,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Bihag,C,Bihag_7,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Bihag,D,Bihag_8,,Vocal,M,Deborshee Bhattacharya,CompMusic DB,,,,
Bihag,A,Bihag_9,,Vocal,M,Manik Bhide,CompMusic DB,,,,
Bihag,D#,Bihag_10,,Vocal,M,Omkar Dadarkar,CompMusic DB,,,,
Bihagda,D#,Bihagda_1,https://youtu.be/_uUhQLUqF9o?si=zkLllbLz20mPpSWd,Vocal,M,Mallikarjun Mansur,,,,,
Bihagda,A#,Bihagda_2,https://youtu.be/K0eXpE1OjI4?si=ec8it5caCnSHhXYC,Vocal,F,Ashwini Bhide,,,,,
Bihagda,A#,Bihagda_3,https://youtu.be/zszwh_XJs5M?si=irqlQt2EIcjQYFt3,Vocal,F,Ranjani Ramachandran,,,,,
Bihagda,F#,Bihagda_4,https://youtu.be/0UNxX59oj_o?si=BBrk5wjFwsul_zg0,Vocal,M,Kumar Gandharv,,,,,
Bihagda,D#,Bihagda_5,https://youtu.be/2qrxsvACByw?si=YAj9TCYN3SAZxQwh,Vocal,M,Ulhas Kashalkar,,,,,
Bihagda,C#,Bihagda_6,https://youtu.be/7hIOa5fOEl4?si=cJWd25bxdxzelRvh,Sitar,M,Vilayat Khan,,,,,
Bihagda,C,Bihagda_7,https://youtu.be/l3WrolnLUNw?si=7yRtTi3uICLONWzu,Vocal,F,Kishori Amonkar,,,,,
Bihagda,D#,Bihagda_8,https://youtu.be/_RnkEjtlaHc?si=WD1iXqUSXyzqwOYT,Vocal,M,Shashank Maktedar,,,,,
Bihagda,D#,Bihagda_9,https://youtu.be/LxNT_mL_FnM?si=TaWovIlxVki-cr8u,Vocal,M,Nishad Bakre,,,,,
Bihari,E,Bihari_1,https://youtu.be/sDaPoNBX65A?si=8fY984QEHlsP-Ptm,Vocal,M,Mallikarjun Mansur,,,,,
Bihari,A,Bihari_2,https://youtu.be/OJzIbmJemA8?si=PXPM6w2oob9w52P3,Vocal,F,Pratima Tilak,,,,,
Bihari,A#,Bihari_3,https://youtu.be/17Z8bSRxhUM?si=KvOhfB07PLrtxAuU,Vocal,F,Ashwini Bhide,,,,,
Bihari,B,Bihari_4,https://www.youtube.com/watch?v=X2767Q1iBN8,Sarod,M,Amjad Ali Khan,,,,,Recording is not great
Bihari,D,Bihari_5,https://youtu.be/VOQusm9-1NI?si=9juVaLU-R6JFxHyL,Vocal,M,Arun Dravid,,,,,
Bihari,G#,Bihari_6,https://youtu.be/ksfYVfh-mBk?si=Nao0Jl1yRIOKY0vh,Vocal,F,Shruti Sadolikar,,,0:38,,
Bihari,D#,Bihari_7,https://youtu.be/W01XQbLWL0A?si=yYXCYs1FPxM6xGKw,Vocal,M,Nishad Matange,,,1:50,,
Bihari,B,Bihari_8,https://youtu.be/t9WAREKVaW0?si=jmePA_e4SJQbhMNh,Vocal,F,Kishori Amonkar,,,,,
Bilaskhani Todi,E,Bilaskhani Todi_1,,Vocal,M,Basavraj Rajaguru,CompMusic DB,,,,
Bilaskhani Todi,C#,Bilaskhani Todi_2,,Vocal,M,Amir Khan,CompMusic DB,,,,
Bilaskhani Todi,D,Bilaskhani Todi_3,,Vocal,M,Pt. Jasraj,CompMusic DB,,,,
Bilaskhani Todi,D#,Bilaskhani Todi_4,,Vocal,M,Rashid Khan,CompMusic DB,,,,
Bilaskhani Todi,D,Bilaskhani Todi_5,,Vocal,M,Satyasheel Deshpande,CompMusic DB,,,,
Bilaskhani Todi,A#,Bilaskhani Todi_6,,Vocal,F,Kaushiki Chakraborti,CompMusic DB,,,,
Bilaskhani Todi,G#,Bilaskhani Todi_7,,Vocal,F,Shruti Sadolikar,CompMusic DB,,,,
